"Product Name",Descriptions,Price,"URL of Image"
"LIRENE C+D PRO VITAMIN ENERGY GEL-CREME PEAUX...","LIRENE C+D PRO VITAMIN ENERGY GEL-CREME PEAUX...","43,451 TND",https://pharma-shop.tn/10952-large_default/lirene-cd-pro-vitamin-energy-gel-creme-peaux-normales-à-mixtes-50ml.jpg
"AVENE HYDRANCE AQUA GEL-CREME HYDRATANT 50ML","AVENE HYDRANCE AQUA GEL-CREME HYDRATANT 50ML","43,456 TND",https://pharma-shop.tn/7928-large_default/avene-hydrance-aqua-gel-creme-hydratant-50ml.jpg
"SVR AMPOULE HYDRA B 30ML PEAUX SENSIBLES 30ML","SVR AMPOULE HYDRA B 30ML PEAUX SENSIBLES 30ML","98,449 TND",https://pharma-shop.tn/6999-large_default/svr-hydra-b-30ml-peaux-sensibles.jpg
"SVR HYDRALIANE CREME TOUS TYPES DE PEAUX...","SVR HYDRALIANE CREME TOUS TYPES DE PEAUX...","36,600 TND",https://pharma-shop.tn/20864-large_default/svr-hydraliane-creme-tous-types-de-peaux-sensibles-50ml.jpg
"MARTIDERM PLATINUM NIGHT RENEW 10 AMPOULES","MARTIDERM PLATINUM NIGHT RENEW 10 AMPOULES","96,302 TND",https://pharma-shop.tn/5908-large_default/martiderm-platinum-night-renew-10-ampoules.jpg
"JONZAC REHYDRATE SERUM CONCENTRE DESALTERANT 30ML","JONZAC REHYDRATE SERUM CONCENTRE DESALTERANT 30ML","63,104 TND",https://pharma-shop.tn/13566-large_default/jonzac-rehydrate-serum-concentre-desalterant-30ml.jpg
"SVR TROUSSE AMPOULE [B]+AMPOULE [C]+AMPOULE...","SVR TROUSSE AMPOULE [B]+AMPOULE [C]+AMPOULE...","209,922 TND",https://pharma-shop.tn/21418-large_default/svr-trousse-ampoule-b-ampoule-c-ampoule-refresh-15ml-offert.jpg
"ALANIA PURETE+ VITAMINE C SERUM DUO JOUR ET NUIT","ALANIA PURETE+ VITAMINE C SERUM DUO JOUR ET NUIT","70,991 TND",https://pharma-shop.tn/10668-large_default/alania-purete-vitamine-c-serum-duo-jour-et-nuit.jpg
"SVR TROUSSE AMPOULE [B]+AMPOULE [C]+AMPOULE...","SVR TROUSSE AMPOULE [B]+AMPOULE [C]+AMPOULE...","209,922 TND",https://pharma-shop.tn/21416-large_default/svr-trousse-ampoule-b-ampoule-c-ampoule-relax-offert.jpg
"BYPHASSE CREME HYDRATANTE&NOURRISSANTE 250ML","BYPHASSE CREME HYDRATANTE&NOURRISSANTE 250ML","19,800 TND",https://pharma-shop.tn/13943-large_default/byphasse-creme-hydratantenourrissante-250ml.jpg
