Category,Description,Price,Location,"Image URL"
Téléphones,"IPHONE 14 128GB 💯 PROMO 🔥🔥","2399 TND","Tunis, 9 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=0a/0a29b39a-4f12-421c-804d-b6ed75cc283b&w=100&w=300
"Jeux vidéo et Consoles","PlayStation 5 Slim 🔥Nouvel Arrivage Ps5 🔥","2099 TND","Tunis, 10 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=0a/0a29b39a-4f12-421c-804d-b6ed75cc283b&w=100&w=300
Téléphones,"IPHONE 11 💯 PROMO 🔥🔥","1599 TND","Tunis, 10 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=0a/0a29b39a-4f12-421c-804d-b6ed75cc283b&w=100&w=300
Téléphones,"IPHONE 15 PRO 128GB","3798 TND","Tunis, 10 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=0a/0a29b39a-4f12-421c-804d-b6ed75cc283b&w=100&w=300
Appartements,"À louer un appartement s2 à gammarth (route du relais)","1250 TND","Tunis, 11 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=af/af9957c1-f16a-4261-869b-61c166e4f164.jpg&w=100&w=300
Téléphones,"IPHONE 13 💯 PROMO 🔥","2149 TND","Tunis, 11 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=0a/0a29b39a-4f12-421c-804d-b6ed75cc283b&w=100&w=300
Téléphones,"IPHONE 15 128GB","2749 TND","Tunis, 11 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=0a/0a29b39a-4f12-421c-804d-b6ed75cc283b&w=100&w=300
Appartements,"À louer un s+1 à la soukra chotrana 1","1100 TND","Ariana, 11 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=af/af9957c1-f16a-4261-869b-61c166e4f164.jpg&w=100&w=300
"Maisons et Villas","Vente belle villa avec piscine la marsa","2200000000 TND","Tunis, 15 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=77/7763aa02-e808-4775-83c1-3e93bb1e23fd&w=300
"Maisons et Villas","Location belle villa avec piscine la marsa","5000 TND","Tunis, 19 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=43/430f3b95-c2bb-4ce0-881b-a984c14de3eb&w=300
Voitures,"AUDI A4","85000 TND","Sousse, 20 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=bc/bc22f569-3ecc-4bdc-8a91-6fd4972cc833&w=300
"Matériels Professionnels","Lampe tête LED emporté 🇨🇵","45 TND","Gabès, 21 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=9b/9b2564bf-cdaf-49e3-84ee-3cfac253f01e&w=300
Voitures,"TOYOTA RAV 4"," TND","Sousse, 21 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=e8/e8ce361d-6754-457a-8df5-7da9319d57e0&w=300
Téléphones,"tecno jdid 2024 128g
8ram","350 TND","Tunis, 44 minutes ago",https://www.tayara.tn/mediaGateway/resize-image?img=ce/ce92cc1e-26c7-42e9-afbd-2a017522aadc&w=300
"Locations de vacances","A louer été 2024 maison indépendante vue sur mer 3 étages rejich plage mahdia ","300 TND","Mahdia, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=51/51da37a1-bf3e-4d58-a0a7-dbd2ad616c00&w=300
"Autres Immobiliers","للبيع في دار علوش قليبية."," TND","Nabeul, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=b4/b4c5aebd-90c1-4a35-95a6-b2cba8916993&w=300
"Jeux vidéo et Consoles","PS4 SLIM 11.02 IMPORTÉ ALLEMAGNE","599 TND","Bizerte, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=3a/3ab6ee79-20bb-43ea-a5c1-f906d9b61f4b&w=300
Télévisions,"A vendre TV TCL 4K 43"" p735 avec sa garantie 2 ans El athir Tunisie état comme neuf ","1000 TND","Tunis, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=91/9101e44e-df13-428d-9f6b-b0c86c948ecd&w=300
"Image & Son","box parte jbl 300","1800 TND","Monastir, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=bc/bc3fd784-aa42-478a-a5a0-1a5efd9c4366&w=300
"Vêtements pour enfant et bébé","chaussures fille ","20 TND","Sousse, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=de/de44cf5f-873c-4dd3-9ea8-12d75ab45065&w=300
"Meubles et Décoration","chambre à enfants ","1450 TND","Nabeul, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=a1/a162eb2d-c021-42fa-8f00-9ce41fe7c807&w=300
"Sacs et Accessoires","lunettes de vue","20 TND","Sousse, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=63/6374af90-45cc-4923-82d5-665b5755e8aa&w=300
"Matériels Professionnels","meubled de bureau ","2000 TND","Ariana, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=c1/c1223e45-3d30-4c97-a31b-f32fd6538dd5&w=300
"Bureaux et Plateaux","location bureau meublé à ghazela centre","1000 TND","Ariana, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=34/34afdddc-861a-42bb-93d9-5d81d09d5ba3&w=300
"Autres ","materiel pour coiffure","300 TND","Ben Arous, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=c2/c26e552b-b1fc-481b-9351-8c334789c208&w=300
"Terrains et Fermes","Excellente opportunité à mornag","65 TND","Ben Arous, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=2b/2b6cac00-5802-4199-81e2-a759af4cfd32&w=300
"Autres ","cage Samsung Galaxy s22 ultra ","35 TND","Sfax, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=10/107fb1b3-9b1f-4019-bd11-b7f0443d5811&w=300
"Jeux vidéo et Consoles","CD GTA 5 et CD FIFA 21 et 19","90 TND","Sfax, an hour ago",https://www.tayara.tn/mediaGateway/resize-image?img=d7/d7e2f2eb-f086-4601-984f-3581749110d3&w=300
"Accessoires informatiques et Gadgets","TAG RFID 13.56MHz IC Porte Clef, Jetons contrôle d’accès 60 pieces","60 TND","Sousse, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=fc/fc2e44c9-e78d-4158-a70a-5d77305450f0&w=300
"Pièces et Accessoires pour véhicules",chousure,"80 TND","Tunis, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=94/9434e545-8063-421c-92e0-0434a90e1edb&w=300
"Terrains et Fermes","terrain à vendre "," TND","Ariana, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=34/34b74a3e-9589-44b7-866a-d880c1cafc0a&w=300
Voitures,"Golf 7 boite Auto série 241"," TND","Tunis, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=c0/c0269dfe-1a68-4bd7-b1ec-868dccb595a4&w=300
Téléphones,"14 pro max cacheté jamis servi ","3650 TND","Tunis, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=e7/e7f4bf94-4b8e-47c2-b06a-603b1750e564&w=300
Appartements,"Jardin laouina près du lac2 à l'année pour étranger ","1300 TND","Tunis, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=78/7874728a-2a1d-40ff-b382-acc5c8bbf4ac&w=300
Téléphones,"samsung Z fold 3 256G validé","1399 TND","Tunis, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=3e/3e338b0f-ec69-475e-a2d6-f88e53d41c94&w=300
"Business et Affaires commerciales",agricole," TND","Gabès, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=3b/3bb0d440-5c1f-40ae-96e0-02b498404926&w=300
Appartements,"A vendre à la soukra un s plus 2 rdc avec une place de parking au sous sol","320000 TND","Ariana, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=af/af9957c1-f16a-4261-869b-61c166e4f164.jpg&w=100&w=300
"Maisons et Villas","À louer un étage de villa s3 à la soukra chotrana 1","1250 TND","Ariana, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=af/af9957c1-f16a-4261-869b-61c166e4f164.jpg&w=100&w=300
Voitures,"kia Sportage restylée 2021
Série 242"," TND","Ariana, 2 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=49/4948d100-ed92-41a5-97fa-1adb7d33d4aa&w=300
